Date,Open,Close,High,Low,Volume
2020-06-07,46.75,46.56,46.93,45.18,405383.36
2020-06-06,46.96,46.75,47.19,46.16,339881.0
2020-06-05,47.46,46.96,47.97,46.42,720270.69
2020-06-04,47.11,47.46,48.08,46.31,859347.75
2020-06-03,45.93,47.11,47.43,45.3,737650.35
2020-06-02,48.25,45.93,49.89,44.6,1913559.33
2020-06-01,45.59,48.25,48.9,45.34,928290.73
2020-05-31,47.74,45.59,47.81,45.11,465889.01
2020-05-30,44.48,47.74,48.04,44.21,1018672.96
2020-05-29,44.75,44.48,45.22,44.2,523169.3
2020-05-28,43.75,44.75,44.83,43.2,320061.57
2020-05-27,42.3,43.75,43.97,42.25,441108.58
2020-05-26,42.98,42.3,42.98,41.79,172480.79
2020-05-25,42.13,42.98,43.31,41.77,316811.28
2020-05-24,43.86,42.13,44.57,42.08,643850.1
2020-05-23,44.14,43.86,44.72,43.69,279060.74
2020-05-22,42.66,44.14,44.66,42.36,540338.02
2020-05-21,44.18,42.66,44.6,41.52,661220.89
2020-05-20,45.78,44.18,46.19,43.13,739604.89
2020-05-19,45.28,45.78,45.83,44.08,600397.71
2020-05-18,43.64,45.28,46.62,43.64,1041296.47
2020-05-17,43.26,43.64,44.49,43.12,403833.14
2020-05-16,42.65,43.26,43.84,42.57,308851.59
2020-05-15,43.97,42.65,44.17,41.88,662770.91
2020-05-14,43.28,43.97,44.35,42.24,999454.74
2020-05-13,42.14,43.28,43.76,42.07,559862.73
2020-05-12,41.64,42.14,42.86,41.35,879189.55
2020-05-11,42.18,41.64,42.92,39.38,932987.52
2020-05-10,47.06,42.18,47.06,39.29,1967507.52
2020-05-09,47.82,47.06,49.07,46.81,1020441.46
2020-05-08,47.42,47.82,48.47,46.41,775321.31
2020-05-07,45.04,47.42,48.19,44.51,871490.41
2020-05-06,46.44,45.04,47.56,44.24,965505.69
2020-05-05,47.09,46.44,47.79,45.78,587739.18
2020-05-04,48.07,47.09,48.2,45.22,953736.87
2020-05-03,49.21,48.07,49.99,46.71,931863.18
2020-05-02,47.1,49.21,49.57,46.83,1137678.2
2020-05-01,46.37,47.1,48.3,46.37,733398.52
2020-04-30,48.81,46.37,50.91,45.65,2361794.91
2020-04-29,45.78,48.81,49.99,45.75,1903247.01
2020-04-28,44.56,45.78,46.17,43.6,620651.78
2020-04-27,44.66,44.56,45.09,43.23,469874.26
2020-04-26,44.4,44.66,45.37,43.81,470778.83
2020-04-25,44.51,44.4,45.66,43.92,652544.66
2020-04-24,42.95,44.51,44.99,42.87,831375.57
2020-04-23,41.83,42.95,44.0,41.07,930182.07
2020-04-22,40.65,41.83,42.37,40.37,399556.54
2020-04-21,40.32,40.65,41.37,40.17,445353.17
2020-04-20,42.31,40.32,43.31,39.6,876255.74
2020-04-19,44.08,42.31,44.32,41.66,769660.99
2020-04-18,42.32,44.08,44.53,42.11,634088.16
2020-04-17,42.52,42.32,43.04,41.72,486772.59
2020-04-16,39.26,42.52,43.71,37.96,1507072.96
2020-04-15,41.18,39.26,41.74,39.14,651166.56
2020-04-14,41.27,41.18,41.92,40.58,518168.64
2020-04-13,42.02,41.27,42.03,39.61,865433.93
2020-04-12,42.62,42.02,43.71,41.9,658875.42
2020-04-11,42.21,42.62,43.15,41.51,534501.86
2020-04-10,46.33,42.21,46.41,41.0,1004697.41
2020-04-09,46.58,46.33,46.9,44.86,587167.34
2020-04-08,44.76,46.58,47.22,44.33,818754.41
2020-04-07,45.07,44.76,47.69,43.72,1889441.48
2020-04-06,40.36,45.07,45.1,40.36,1472537.49
2020-04-05,40.8,40.36,41.02,40.0,282093.85
2020-04-04,40.51,40.8,41.24,40.0,398836.85
2020-04-03,39.96,40.51,41.31,39.72,650007.04
2020-04-02,39.44,39.96,42.85,39.14,1362041.7
2020-04-01,39.25,39.44,39.52,37.19,647680.64
